date,PZ01,PZ02,PZ03,PZ05,PZ08,PZ10,PZ11,PZ13,PZ14,PZ15,PZ18,PZ20
2010-01-01,419.97777583625947,,,,,,,,,,,
2010-02-01,415.34961639230863,,,,,,,,,,,
2010-03-01,417.4975419716627,,,,,,,,,,,
2010-04-01,417.6417389908449,,,,,,,,,,,
2010-05-01,418.26982743721726,,,,,,,,,,,
2010-06-01,417.89931970275296,,,,,,,,,,,
2010-07-01,419.07842057965433,,,,,,,,,,,
2010-08-01,419.8129120073137,,,,,,,,,,,
2010-09-01,418.50022272088125,,,,,,,,,,,
2010-10-01,418.70766750959564,,,,,,,,,,,
2010-11-01,419.7717680537359,,,,,,,,,,,
2010-12-01,419.79283273285756,,,,,,,,,,,
2011-01-01,420.1517924817858,,,,,,,,,,,
2011-02-01,419.5120365936445,,,,,,,,,,,
2011-03-01,420.56471334172,,,,,,,,,,,
2011-04-01,418.9233143088372,,,,,,,,,,,
2011-05-01,420.57643253359635,,,,,,,,,,,
2011-06-01,419.3114821052459,,,,,,,,,,,
2011-07-01,419.33009289914196,,,,,,,,,,,
2011-08-01,421.015771322284,,,,,,,,,,,
2011-09-01,421.51470421784103,,,,,,,,,,,
2011-10-01,420.61955976660425,,,,,,,,,,,
2011-11-01,421.18280204397365,,,,,,,,,,,
2011-12-01,421.2159021386593,,,,,352.3031099533788,,,,,,
2012-01-01,422.1863234451474,,,,479.84731779179936,350.6628410618795,,,,,,
2012-02-01,421.3837971023282,,,,482.5309030801464,351.5586278043968,471.30066009018367,,,,,
2012-03-01,422.63980076829796,,,,481.721953913311,350.96885439532497,473.12795888499164,,,,,
2012-04-01,423.3332969136088,,,,482.0237412733868,350.5774948035386,470.98807030060397,,,,,
2012-05-01,422.39703837797185,,,,483.9050298387728,349.56503030751645,472.3073437159812,,,,,
2012-06-01,424.53566376178986,,,,481.5944723969484,349.0466080512151,472.10270571623676,,,,,
2012-07-01,424.63674107222715,,,,480.60470306554754,349.9034806049591,473.1496498306872,,,,,
2012-08-01,422.20919693400685,,,,480.41912172763534,349.5960994502549,472.64134226710286,,,,,
2012-09-01,423.5086852207552,,,,483.01148168287943,348.7939398431969,472.0407762612394,,,,,
2012-10-01,424.5073202059567,,,,481.8957880039683,350.4311472367984,473.18037680557836,,,,,
